       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
       2217 25 May 2023 09:49:15     26.000     26.240    10.0003  36.771558     0.5055 4.8768e+00    279.870     98.381     26.000    33.6414    25.8911    1488.61 0.0000e+00
       2245 25 May 2023 09:49:22     25.000     25.231    10.0016  36.771725     0.4936 5.7565e+00    279.876     98.384     25.000    33.6409    25.8904    1488.60 0.0000e+00
       2275 25 May 2023 09:49:29     24.000     24.222    10.0021  36.771625     0.4801 6.9030e+00    280.196     98.500     24.000    33.6407    25.8902    1488.58 0.0000e+00
       2304 25 May 2023 09:49:37     23.000     23.213    10.0055  36.773945     0.4829 8.2747e+00    280.255     98.531     23.000    33.6404    25.8894    1488.58 0.0000e+00
       2334 25 May 2023 09:49:44     22.000     22.203    10.0106  36.777279     0.5595 9.8009e+00    280.590     98.666     22.000    33.6394    25.8878    1488.58 0.0000e+00
       2362 25 May 2023 09:49:51     21.000     21.194    10.0221  36.784575     0.5297 1.1652e+01    281.064     98.853     21.000    33.6366    25.8837    1488.60 0.0000e+00
       2392 25 May 2023 09:49:59     20.000     20.185    10.0326  36.789281     0.6316 1.3923e+01    282.087     99.235     20.000    33.6321    25.8784    1488.62 0.0000e+00
       2420 25 May 2023 09:50:06     19.000     19.175    10.0427  36.791484     0.6403 1.6771e+01    282.338     99.331     19.000    33.6254    25.8715    1488.63 0.0000e+00
       2449 25 May 2023 09:50:13     18.000     18.166    10.0474  36.789916     0.6733 2.0277e+01    282.697     99.469     18.000    33.6199    25.8664    1488.62 0.0000e+00
       2477 25 May 2023 09:50:20     17.000     17.157    10.0605  36.793544     0.8474 2.4246e+01    283.923     99.953     17.000    33.6118    25.8578    1488.64 0.0000e+00
       2505 25 May 2023 09:50:27     16.000     16.148    10.0897  36.806771     1.0622 2.9048e+01    286.987    101.072     16.000    33.5986    25.8426    1488.71 0.0000e+00
       2533 25 May 2023 09:50:34     15.000     15.138    10.1090  36.815085     1.0820 3.4368e+01    288.965    101.791     15.000    33.5896    25.8323    1488.76 0.0000e+00
       2560 25 May 2023 09:50:41     14.000     14.129    10.1170  36.810980     1.2700 4.1079e+01    290.791    102.462     14.000    33.5784    25.8222    1488.75 0.0000e+00
       2588 25 May 2023 09:50:48     13.000     13.120    10.1436  36.830724     1.3027 4.8825e+01    294.210    103.756     13.000    33.5742    25.8144    1488.83 0.0000e+00
       2616 25 May 2023 09:50:55     12.000     12.111    10.1868  36.849746     1.2684 5.9173e+01    293.868    103.684     12.000    33.5539    25.7912    1488.94 0.0000e+00
       2644 25 May 2023 09:51:02     11.000     11.101    10.2175  36.824894     1.2311 7.4634e+01    292.201    103.131     11.000    33.5008    25.7445    1488.97 0.0000e+00
       2672 25 May 2023 09:51:09     10.000     10.092    10.2603  36.784180     1.1104 9.4568e+01    291.934    103.076     10.000    33.4205    25.6746    1489.01 0.0000e+00
       2699 25 May 2023 09:51:15      9.000      9.083    10.3091  36.784903     1.2200 1.1834e+02    293.054    103.827      9.000    33.3768    25.6322    1489.11 0.0000e+00
       2726 25 May 2023 09:51:22      8.000      8.074    10.5808  36.869934     1.3361 1.4985e+02    299.913    106.782      8.000    33.2141    25.4586    1489.87 0.0000e+00
       2754 25 May 2023 09:51:29      7.000      7.064    10.8431  36.938748     1.6298 1.8990e+02    305.216    109.074      7.000    33.0455    25.2814    1490.58 0.0000e+00
       2781 25 May 2023 09:51:36      6.000      6.055    11.0074  36.958288     1.1060 2.1044e+02    310.361    111.009      6.000    32.9173    25.1527    1490.99 0.0000e+00
       2808 25 May 2023 09:51:43      5.000      5.046    11.0263  36.921311     0.9396 1.6675e+02    311.254    111.206      5.000    32.8642    25.1080    1490.97 0.0000e+00
       2835 25 May 2023 09:51:50      4.000      4.037    10.9886  36.826649     0.7616 1.1127e+02    310.032    110.700      4.000    32.8046    25.0683    1490.75 0.0000e+00
       2861 25 May 2023 09:51:56      3.000      3.028    10.9880  36.744159     0.5934 8.9371e+01    309.651    110.520      3.000    32.7238    25.0055    1490.64 0.0000e+00
       2885 25 May 2023 09:52:02      2.000      2.018    11.0373  36.613097     0.4841 9.3807e+01    307.215    109.774      2.000    32.5507    24.8621    1490.58 0.0000e+00
       2909 25 May 2023 09:52:08      1.000      1.009    11.1696  36.271429     0.1582 1.3964e+02    317.398    103.353      1.000    32.0989    24.4874    1490.49 0.0000e+00
