       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
         84 25 May 2023 10:28:18      1.251      1.262    10.8295  37.296619     0.0166 6.2418e+02    229.418     81.959      1.251    33.4168    25.5730    1490.88 0.0000e+00
         85 25 May 2023 10:28:18      1.251      1.262    10.8290  37.290142     0.0364 5.7064e+02    228.555     81.645      1.251    33.4108    25.5684    1490.87 0.0000e+00
         86 25 May 2023 10:28:20      1.252      1.263    10.8291  37.281063     0.0255 1.1093e+03    227.953     81.425      1.252    33.4016    25.5613    1490.86 0.0000e+00
         87 25 May 2023 10:28:20      1.253      1.264    10.8298  37.268009     0.0245 5.6666e+02    227.252     81.172      1.253    33.3880    25.5505    1490.85 0.0000e+00
         88 25 May 2023 10:28:20      1.254      1.265    10.8311  37.253929     0.0146 5.0222e+02    226.859     81.034      1.254    33.3728    25.5385    1490.84 0.0000e+00
         89 25 May 2023 10:28:20      1.254      1.266    10.8329  37.242714     0.0235 6.5897e+02    226.572     80.935      1.254    33.3600    25.5281    1490.83 0.0000e+00
         90 25 May 2023 10:28:20      1.254      1.266    10.8351  37.235222     0.0195 3.2921e+02    226.730     80.997      1.254    33.3505    25.5204    1490.82 0.0000e+00
         91 25 May 2023 10:28:21      1.254      1.265    10.8370  37.230377     0.0225 5.0852e+02    226.366     80.871      1.254    33.3439    25.5149    1490.82 0.0000e+00
         92 25 May 2023 10:28:21      1.253      1.264    10.8383  37.227192     0.0056 1.5552e+03    227.235     81.181      1.253    33.3395    25.5112    1490.82 0.0000e+00
         93 25 May 2023 10:28:21      1.252      1.263    10.8389  37.225533     0.0126 5.6952e+02    227.886     81.408      1.252    33.3373    25.5095    1490.82 0.0000e+00
         94 25 May 2023 10:28:21      1.251      1.262    10.8389  37.225662     0.0195 1.1999e+03    228.624     81.664      1.251    33.3375    25.5096    1490.82 0.0000e+00
         95 25 May 2023 10:28:21      1.250      1.262    10.8386  37.227509     0.0235 6.0894e+02    229.159     81.849      1.250    33.3396    25.5113    1490.82 0.0000e+00
         96 25 May 2023 10:28:21      1.250      1.262    10.8380  37.230572     0.0265 5.2490e+02    229.582     81.993      1.250    33.3432    25.5142    1490.82 0.0000e+00
         97 25 May 2023 10:28:22      1.251      1.263    10.8372  37.233910     0.0205 9.3959e+02    230.011     82.143      1.251    33.3473    25.5175    1490.83 0.0000e+00
         98 25 May 2023 10:28:22      1.252      1.263    10.8363  37.236263     0.0235 5.8723e+02    230.093     82.173      1.252    33.3504    25.5201    1490.83 0.0000e+00
         99 25 May 2023 10:28:22      1.253      1.264    10.8353  37.236687     0.0265 5.2836e+02    230.086     82.175      1.253    33.3518    25.5214    1490.82 0.0000e+00
        100 25 May 2023 10:28:22      1.253      1.265    10.8341  37.235100     0.0185 7.7814e+02    229.645     82.025      1.253    33.3512    25.5211    1490.82 0.0000e+00
        101 25 May 2023 10:28:22      1.253      1.265    10.8329  37.232185     0.0304 1.1156e+03    229.565     82.005      1.253    33.3494    25.5199    1490.81 0.0000e+00
        102 25 May 2023 10:28:24      1.253      1.264    10.8317  37.228737     0.0324 6.1483e+02    229.527     81.996      1.253    33.3471    25.5183    1490.81 0.0000e+00
        103 25 May 2023 10:28:24      1.251      1.263    10.8306  37.225384     0.0185 1.2429e+03    229.805     82.091      1.251    33.3448    25.5167    1490.80 0.0000e+00
        104 25 May 2023 10:28:24      1.250      1.262    10.8297  37.222820     0.0195 7.8001e+02    229.875     82.110      1.250    33.3431    25.5155    1490.79 0.0000e+00
        105 25 May 2023 10:28:24      1.250      1.261    10.8291  37.221828     0.0175 1.5159e+03    229.691     82.041      1.250    33.3426    25.5153    1490.79 0.0000e+00
        106 25 May 2023 10:28:24      1.250      1.261    10.8289  37.222759     0.0215 6.2173e+02    229.453     81.955      1.250    33.3437    25.5162    1490.79 0.0000e+00
        107 25 May 2023 10:28:25      1.250      1.262    10.8289  37.225163     0.0156 6.5409e+02    228.828     81.731      1.250    33.3461    25.5181    1490.80 0.0000e+00
        108 25 May 2023 10:28:25      1.252      1.263    10.8288  37.227924     0.0294 7.5171e+02    228.198     81.508      1.252    33.3489    25.5202    1490.80 0.0000e+00
        109 25 May 2023 10:28:25      1.253      1.264    10.8287  37.229668     0.0156 1.5272e+03    227.455     81.245      1.253    33.3508    25.5218    1490.80 0.0000e+00
        110 25 May 2023 10:28:25      1.253      1.265    10.8282  37.229321     0.0185 6.7178e+02    226.775     81.006      1.253    33.3509    25.5219    1490.80 0.0000e+00
        111 25 May 2023 10:28:25      1.253      1.265    10.8274  37.226738     0.0265 1.4302e+03    226.077     80.759      1.253    33.3490    25.5206    1490.79 0.0000e+00
        112 25 May 2023 10:28:26      1.252      1.264    10.8265  37.222679     0.0255 9.5179e+02    225.762     80.647      1.252    33.3458    25.5183    1490.79 0.0000e+00
        113 25 May 2023 10:28:26      1.251      1.263    10.8255  37.218304     0.0255 9.8246e+02    225.503     80.552      1.251    33.3424    25.5157    1490.78 0.0000e+00
        114 25 May 2023 10:28:26      1.250      1.262    10.8247  37.214729     0.0255 7.1906e+02    225.286     80.470      1.250    33.3395    25.5136    1490.77 0.0000e+00
        115 25 May 2023 10:28:26      1.250      1.262    10.8243  37.212891     0.0066 1.0970e+03    224.857     80.311      1.250    33.3380    25.5126    1490.77 0.0000e+00
        116 25 May 2023 10:28:26      1.251      1.262    10.8244  37.213310     0.0344 4.9872e+02    224.047     80.016      1.251    33.3383    25.5128    1490.77 0.0000e+00
        117 25 May 2023 10:28:26      1.252      1.263    10.8250  37.215778     0.0175 1.1465e+03    223.161     79.695      1.252    33.3403    25.5142    1490.77 0.0000e+00
        118 25 May 2023 10:28:28      1.253      1.264    10.8259  37.219261     0.0314 1.2486e+03    222.202     79.349      1.253    33.3429    25.5161    1490.78 0.0000e+00
        119 25 May 2023 10:28:28      1.254      1.266    10.8271  37.222095     0.0374 8.1418e+02    221.256     79.012      1.254    33.3447    25.5173    1490.79 0.0000e+00
        120 25 May 2023 10:28:28      1.255      1.266    10.8283  37.222496     0.0166 1.4731e+03    220.338     78.687      1.255    33.3440    25.5165    1490.79 0.0000e+00
        121 25 May 2023 10:28:28      1.254      1.266    10.8293  37.220032     0.0215 1.3420e+03    219.634     78.440      1.254    33.3406    25.5137    1490.79 0.0000e+00
        122 25 May 2023 10:28:28      1.254      1.265    10.8301  37.216267     0.0334 1.5906e+03    219.309     78.329      1.254    33.3362    25.5101    1490.79 0.0000e+00
        123 25 May 2023 10:28:29      1.253      1.264    10.8305  37.213085     0.0255 9.9109e+02    219.103     78.260      1.253    33.3326    25.5072    1490.79 0.0000e+00
        124 25 May 2023 10:28:29      1.252      1.263    10.8308  37.211224     0.0324 9.3753e+02    219.169     78.282      1.252    33.3304    25.5055    1490.78 0.0000e+00
        125 25 May 2023 10:28:29      1.251      1.263    10.8311  37.210640     0.0364 2.1847e+03    219.379     78.350      1.251    33.3296    25.5048    1490.78 0.0000e+00
        126 25 May 2023 10:28:29      1.252      1.263    10.8315  37.211185     0.0106 4.6419e+02    219.165     78.267      1.252    33.3298    25.5049    1490.79 0.0000e+00
        127 25 May 2023 10:28:29      1.252      1.264    10.8319  37.212601     0.0136 5.6803e+02    218.776     78.124      1.252    33.3309    25.5056    1490.79 0.0000e+00
