       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
       2291 23 May 2023 09:45:45     90.000     90.847    13.3453  34.357408     0.4593 5.3352e-02      5.548      2.027     90.000    28.4868    21.2876    1495.15 0.0000e+00
       2311 23 May 2023 09:45:50     91.000     91.856    13.3463  34.359739     0.4574 5.3351e-02      5.499      2.009     91.000    28.4878    21.2882    1495.17 0.0000e+00
       2333 23 May 2023 09:45:55     92.000     92.866    13.3468  34.360830     0.4575 5.3343e-02      5.464      1.996     92.000    28.4881    21.2884    1495.19 0.0000e+00
       2355 23 May 2023 09:46:01     93.000     93.875    13.3483  34.363284     0.4620 5.3355e-02      5.258      1.921     93.000    28.4889    21.2887    1495.21 0.0000e+00
       2378 23 May 2023 09:46:06     94.000     94.885    13.3501  34.367899     0.4609 5.3354e-02      4.890      1.787     94.000    28.4914    21.2903    1495.24 0.0000e+00
       2401 23 May 2023 09:46:12     95.000     95.895    13.3533  34.375397     0.4570 5.3362e-02      4.550      1.663     95.000    28.4955    21.2929    1495.27 0.0000e+00
       2425 23 May 2023 09:46:18     96.000     96.904    13.3556  34.379606     0.4598 5.3370e-02      4.565      1.668     96.000    28.4973    21.2938    1495.30 0.0000e+00
       2447 23 May 2023 09:46:24     97.000     97.914    13.3569  34.383266     0.4533 5.3360e-02      4.362      1.594     97.000    28.4993    21.2951    1495.32 0.0000e+00
       2468 23 May 2023 09:46:29     98.000     98.924    13.3581  34.387207     0.4561 5.3351e-02      3.990      1.458     98.000    28.5018    21.2968    1495.35 0.0000e+00
       2488 23 May 2023 09:46:34     99.000     99.933    13.3606  34.395105     0.4617 5.3345e-02      3.744      1.369     99.000    28.5068    21.3002    1495.38 0.0000e+00
       2508 23 May 2023 09:46:39    100.000    100.943    13.3654  34.408449     0.4613 5.3380e-02      3.216      1.176    100.000    28.5151    21.3057    1495.42 0.0000e+00
       2527 23 May 2023 09:46:44    101.000    101.953    13.3676  34.415546     0.4648 5.3362e-02      2.960      1.082    101.000    28.5196    21.3087    1495.45 0.0000e+00
       2546 23 May 2023 09:46:48    102.000    102.962    13.3692  34.420781     0.4559 5.3346e-02      2.828      1.034    102.000    28.5229    21.3109    1495.48 0.0000e+00
       2566 23 May 2023 09:46:53    103.000    103.972    13.3710  34.429925     0.4650 5.3359e-02      2.544      0.930    103.000    28.5296    21.3158    1495.51 0.0000e+00
       2586 23 May 2023 09:46:58    104.000    104.982    13.3732  34.440309     0.4653 5.3358e-02      2.086      0.763    104.000    28.5371    21.3212    1495.54 0.0000e+00
       2605 23 May 2023 09:47:03    105.000    105.991    13.3751  34.445448     0.4656 5.3364e-02      2.141      0.783    105.000    28.5401    21.3231    1495.57 0.0000e+00
       2625 23 May 2023 09:47:08    106.000    107.001    13.3756  34.446736     0.4669 5.3352e-02      2.064      0.755    106.000    28.5405    21.3233    1495.58 0.0000e+00
       2646 23 May 2023 09:47:13    107.000    108.011    13.3761  34.449984     0.4688 5.3337e-02      1.785      0.653    107.000    28.5427    21.3249    1495.61 0.0000e+00
       2667 23 May 2023 09:47:18    108.000    109.021    13.3778  34.461126     0.4672 5.3346e-02      1.654      0.605    108.000    28.5514    21.3313    1495.64 0.0000e+00
